Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
AJ Redmond (NZ),2008-2013,8,16,1,325,83,No,21.66,0,2,1,R,top-order batsman
Sohag Gazi (BDESH),2012-2014,10,16,1,325,101,Yes,21.66,1,0,3,R,bowler
A Mukund (INDIA),2011-2017,7,14,0,320,81,No,22.85,0,2,3,L,top-order batsman
DR Smith (WI),2004-2006,10,14,1,320,105,Yes,24.61,1,0,4,R,allrounder
OAC Banks (WI),2003-2005,10,16,4,318,50,Yes,26.50,0,1,1,R,allrounder
W Larkins (ENG),1990-1991,7,14,1,317,64,No,24.38,0,3,4,R,
RJ Sidebottom (ENG),2001-2010,22,31,11,313,31,No,15.65,0,0,3,L,
JWA Taylor (ENG),2012-2016,7,13,1,312,76,No,26.00,0,2,1,R,middle-order batsman
BN French (ENG),1986-1988,16,21,4,308,59,No,18.11,0,1,2,R,
Mohammad Mithun (BDESH),2018-2020,9,16,0,308,67,No,19.25,0,2,4,R,top-order batsman
Wahab Riaz (PAK),2010-2018,27,41,5,306,39,No,8.50,0,0,9,R,bowler
DW Fleming (AUS),1994-2001,20,19,3,305,71,Yes,19.06,0,2,7,R,bowler
Shamsur Rahman (BDESH),2014-2014,6,12,0,305,106,No,25.41,1,0,1,R,opening batsman
BR Hartland (NZ),1992-1994,9,18,0,303,52,No,16.83,0,1,3,R,
DJ Murray (NZ),1994-1995,8,16,1,303,52,No,20.20,0,1,3,R,
Shadab Khan (PAK),2017-2020,6,11,2,300,56,No,33.33,0,3,0,R,allrounder
MD Gunathilaka (SL),2017-2018,8,16,0,299,61,No,18.68,0,2,0,L,allrounder
DT Tiripano (ZIM),2014-2020,10,20,5,299,49,Yes,19.93,0,0,3,R,bowler
RS Kalpage (SL),1993-1999,11,18,2,294,63,No,18.37,0,2,0,L,
SJ Rhodes (ENG),1994-1995,11,17,5,294,65,Yes,24.50,0,1,1,R,
KD Mills (NZ),2004-2009,19,30,5,289,57,No,11.56,0,1,5,R,bowler
Zahid Fazal (PAK),1990-1995,9,16,0,288,78,No,18.00,0,1,0,R,
DNT Zoysa (SL),1997-2004,30,40,6,288,28,Yes,8.47,0,0,9,L,
CJ Richards (ENG),1986-1988,8,13,0,285,133,No,21.92,1,0,2,R,
S Sreesanth (INDIA),2006-2011,27,40,13,281,35,No,10.40,0,0,10,R,bowler
ST Finn (ENG),2010-2016,36,47,22,279,56,No,11.16,0,1,9,R,bowler
PA Wallace (WI),1997-1999,7,13,0,279,92,No,21.46,0,2,1,R,
LMP Simmons (WI),2009-2011,8,16,0,278,49,No,17.37,0,0,1,R,top-order batsman
SL Malinga (SL),2004-2010,30,37,13,275,64,No,11.45,0,1,9,R,bowler
Shadman Islam (BDESH),2018-2019,6,11,0,275,76,No,25.00,0,1,2,L,opening batsman
OA Shah (ENG),2006-2009,6,10,0,269,88,No,26.90,0,2,0,R,batsman
Khaled Mahmud (BDESH),2001-2003,12,23,1,266,45,No,12.09,0,0,4,R,
S Shillingford (WI),2010-2014,16,26,6,266,53,Yes,13.30,0,1,7,R,bowler
Tauseef Ahmed (PAK),1986-1993,23,30,16,266,35,Yes,19.00,0,0,5,R,
A Lyth (ENG),2015-2015,7,13,0,265,107,No,20.38,1,0,1,L,batsman
Rubel Hossain (BDESH),2009-2020,27,47,19,265,45,Yes,9.46,0,0,7,R,bowler
GM Wood (AUS),1988-1988,6,11,1,265,111,No,26.50,1,0,1,L,
GC Small (ENG),1986-1991,17,24,7,263,59,No,15.47,0,1,4,R,
Z Crawley (ENG),2019-2020,6,10,0,261,76,No,26.10,0,2,1,R,top-order batsman
Mohammad Rizwan (PAK),2016-2020,7,11,2,261,95,No,29.00,0,1,2,R,wicketkeeper batsman
RW Price (ZIM),1999-2013,22,38,8,261,36,No,8.70,0,0,6,R,bowler
RG Hart (NZ),2002-2003,11,19,3,260,57,Yes,16.25,0,1,4,R,
Akram Khan (BDESH),2000-2003,8,16,0,259,44,No,16.18,0,0,0,R,
Arshad Ayub (INDIA),1987-1989,13,19,4,257,57,No,17.13,0,1,1,R,
Manjural Islam Rana (BDESH),2004-2004,6,11,1,257,69,No,25.70,0,1,2,L,
BB Chari (ZIM),2014-2018,7,14,0,254,80,No,18.14,0,2,2,R,opening batsman
Sohail Khan (PAK),2009-2016,9,12,2,252,65,No,25.20,0,1,0,R,bowler
CRD Fernando (SL),2000-2012,40,47,17,249,39,Yes,8.30,0,0,8,R,bowler
Abdur Razzak (BDESH),2006-2018,13,22,6,248,43,No,15.50,0,0,1,L,bowler
SR Clark (AUS),2006-2009,24,26,7,248,39,No,13.05,0,0,5,R,bowler
MHW Papps (NZ),2004-2007,8,16,1,246,86,No,16.40,0,2,4,R,opening batsman
RJ Ratnayake (SL),1986-1992,13,20,4,246,52,No,15.37,0,1,4,R,
TJ Zoehrer (AUS),1986-1987,10,14,2,246,52,Yes,20.50,0,1,0,R,
Shuvagata Hom (BDESH),2014-2016,8,15,4,244,50,No,22.18,0,1,3,R,batting allrounder
XM Marshall (WI),2005-2009,7,12,0,243,85,No,20.25,0,2,1,R,opening batsman
Mehrab Hossain jnr (BDESH),2007-2009,7,13,1,243,83,No,20.25,0,1,1,L,batsman
D Williams (WI),1992-1998,11,19,1,242,65,No,13.44,0,1,7,R,
Mehrab Hossain (BDESH),2000-2003,9,18,0,241,71,No,13.38,0,1,2,R,
SLV Raju (INDIA),1990-2001,28,34,10,240,31,No,10.00,0,0,3,R,bowler
Naved-ul-Hasan (PAK),2004-2007,9,15,3,239,42,Yes,19.91,0,0,2,R,
LRD Mendis (SL),1986-1988,8,12,0,238,58,No,19.83,0,2,0,R,
LE Plunkett (ENG),2005-2014,13,20,5,238,55,Yes,15.86,0,1,7,R,bowler
DE Malcolm (ENG),1989-1997,40,58,19,236,29,No,6.05,0,0,16,R,
PT Collins (WI),1999-2006,32,47,7,235,24,No,5.87,0,0,14,R,bowler
Hasan Raza (PAK),1996-2005,7,10,1,235,68,No,26.11,0,2,1,R,
Rizwan-uz-Zaman (PAK),1986-1989,8,13,1,233,60,No,19.41,0,3,1,R,
Mushfiqur Rahman (BDESH),2001-2004,10,19,2,232,46,Yes,13.64,0,0,5,R,
AJ Tudor (ENG),1998-2002,10,16,4,229,99,Yes,19.08,0,1,2,R,
JS Foster (ENG),2001-2002,7,12,3,226,48,No,25.11,0,0,1,R,
TBA May (AUS),1987-1995,24,28,12,225,42,Yes,14.06,0,0,3,R,
MJ Henry (NZ),2015-2020,12,16,4,224,66,No,18.66,0,1,2,R,bowler
PH Edmonds (ENG),1986-1987,18,26,9,223,24,Yes,13.11,0,0,4,R,
C Sharma (INDIA),1986-1989,14,15,3,223,30,No,18.58,0,0,2,R,
KCG Benjamin (WI),1992-1998,26,36,8,222,43,Yes,7.92,0,0,8,R,
MJ Leach (ENG),2018-2019,10,18,6,220,92,No,18.33,0,1,2,L,bowler
MS Panesar (ENG),2006-2013,50,68,23,220,26,No,4.88,0,0,20,L,bowler
NH Fairbrother (ENG),1987-1993,10,15,1,219,83,No,15.64,0,1,1,L,middle-order batsman
IE O'Brien (NZ),2005-2009,22,34,5,219,31,No,7.55,0,0,8,R,
JAH Marshall (NZ),2005-2008,7,11,0,218,52,No,19.81,0,1,2,R,batsman
UWMBCA Welegedara (SL),2007-2014,21,30,6,218,48,No,9.08,0,0,4,R,bowler
R Mutumbami (ZIM),2013-2014,6,12,1,217,43,No,19.72,0,0,1,R,wicketkeeper batsman
BAW Mendis (SL),2008-2014,19,19,6,213,78,No,16.38,0,1,2,R,bowler
DP Samaraweera (SL),1993-1995,7,14,0,211,42,No,15.07,0,0,1,R,
Shafiul Islam (BDESH),2010-2017,11,21,1,211,53,No,10.55,0,1,2,R,bowler
MA Ealham (ENG),1996-1998,8,13,3,210,53,Yes,21.00,0,2,0,R,allrounder
Naimur Rahman (BDESH),2000-2002,8,15,1,210,48,No,15.00,0,0,1,R,allrounder
PR Downton (ENG),1986-1988,9,17,2,209,29,No,13.93,0,0,0,R,
MRJ Veletta (AUS),1987-1990,8,11,0,207,39,No,18.81,0,0,0,R,
SP Jones (ENG),2002-2005,18,18,5,205,44,No,15.76,0,0,3,L,
ST Gabriel (WI),2012-2020,48,71,27,204,20,Yes,4.63,0,0,18,R,bowler
NLTC Perera (SL),2011-2012,6,10,0,203,75,No,20.30,0,1,0,L,bowling allrounder
BKV Prasad (INDIA),1996-2001,33,47,20,203,30,Yes,7.51,0,0,10,R,bowler
AIC Dodemaide (AUS),1987-1992,10,15,6,202,50,No,22.44,0,1,0,R,
T Panyangara (ZIM),2004-2014,9,18,6,201,40,Yes,16.75,0,0,2,R,bowler
JTC Vaughan (NZ),1992-1997,6,12,1,201,44,No,18.27,0,0,0,L,
CD Collymore (WI),1999-2007,30,52,27,197,16,Yes,7.88,0,0,11,R,bowler
DM Bess (ENG),2018-2020,8,12,4,196,57,No,24.50,0,1,2,R,bowling allrounder
PB Dassanayake (SL),1993-1994,11,17,2,196,36,No,13.06,0,0,3,R,
STR Binny (INDIA),2014-2015,6,10,1,194,78,No,21.55,0,1,2,R,allrounder
Shahid Nazir (PAK),1996-2007,15,19,3,194,40,No,12.12,0,0,3,R,
RMS Eranga (SL),2011-2016,19,26,11,193,45,Yes,12.86,0,0,4,R,bowler
GR Dilley (ENG),1986-1989,23,30,11,191,28,No,10.05,0,0,4,L,
ML Nkala (ZIM),2000-2005,10,15,2,187,47,No,14.38,0,0,4,R,
DW Headley (ENG),1997-1999,15,26,4,186,31,No,8.45,0,0,3,R,
GB Hogg (AUS),1996-2008,7,10,3,186,79,No,26.57,0,1,0,L,allrounder
EE Hemmings (ENG),1987-1991,11,11,3,185,51,No,23.12,0,1,3,R,
EAR de Silva (SL),1986-1991,9,15,3,184,50,No,15.33,0,1,3,L,
HK Olonga (ZIM),1995-2002,30,45,11,184,24,No,5.41,0,0,14,R,
DA Gunawardene (SL),1999-2005,6,11,0,181,43,No,16.45,0,0,1,L,
Enamul Haque (BDESH),2001-2003,10,19,4,180,24,Yes,12.00,0,0,3,L,
CJ Jordan (ENG),2014-2015,8,11,1,180,35,No,18.00,0,0,0,R,bowler
MC Snedden (NZ),1987-1990,14,18,6,180,33,Yes,15.00,0,0,5,L,
C Pringle (NZ),1990-1995,14,21,4,175,30,No,10.29,0,0,7,R,
S Wettimuny (SL),1986-1987,6,11,0,175,79,No,15.90,0,1,2,R,
CR Miller (AUS),1998-2001,18,24,3,174,43,No,8.28,0,0,7,R,
BA Edgar (NZ),1986-1986,6,10,1,172,83,No,19.11,0,1,1,L,
Mansoor Akhtar (PAK),1987-1990,6,7,0,171,75,No,24.42,0,1,0,R,
Iqbal Qasim (PAK),1987-1988,9,11,1,169,28,No,16.90,0,0,1,L,
SE Bond (NZ),2001-2009,18,20,7,168,41,Yes,12.92,0,0,1,R,bowler
SW Ambris (WI),2017-2018,6,12,1,166,43,No,15.09,0,0,2,R,opening batsman
KR Pushpakumara (SL),1994-2001,23,31,12,166,44,No,8.73,0,0,5,R,
ML Su'a (NZ),1992-1995,13,18,5,165,44,No,12.69,0,0,5,L,
A Ratra (INDIA),2002-2002,6,10,1,163,115,Yes,18.11,1,0,1,R,
EJ Gray (NZ),1986-1988,6,8,0,162,50,No,20.25,0,1,0,R,
GF Labrooy (SL),1986-1991,9,14,3,158,70,Yes,14.36,0,1,3,R,
Qasim Umar (PAK),1986-1986,6,10,1,156,52,No,17.33,0,1,0,R,
RMH Binny (INDIA),1986-1987,6,8,2,155,52,Yes,25.83,0,1,0,R,
Hasan Ali (PAK),2017-2019,9,15,5,155,29,No,15.50,0,0,3,R,bowler
Akram Raza (PAK),1989-1995,9,12,2,153,32,No,15.30,0,0,3,R,
PCR Tufnell (ENG),1990-2001,42,59,29,153,22,Yes,5.10,0,0,15,R,
GF Lawson (AUS),1986-1989,10,9,2,151,74,No,21.57,0,1,0,R,
SR Patel (ENG),2012-2015,6,9,0,151,42,No,16.77,0,0,2,R,allrounder
GJ Batty (ENG),2003-2016,9,12,2,149,38,No,14.90,0,0,2,R,
P Kumar (INDIA),2011-2011,6,10,0,149,40,No,14.90,0,0,2,R,bowler
S Randiv (SL),2010-2012,12,17,1,147,39,No,9.18,0,0,3,R,bowler
NB Mahwire (ZIM),2002-2005,10,17,6,147,50,Yes,13.36,0,1,2,R,bowler
BP Patterson (WI),1986-1992,28,38,16,145,21,Yes,6.59,0,0,8,R,
Zulfiqar Babar (PAK),2013-2016,15,18,9,144,56,No,16.00,0,1,2,R,bowler
AS Joseph (WI),2016-2020,11,18,0,143,34,No,7.94,0,0,5,R,bowler
CPH Ramanayake (SL),1988-1993,18,24,9,143,34,Yes,9.53,0,0,7,R,
JA Warrican (WI),2015-2019,8,14,9,142,41,No,28.40,0,0,1,R,bowler
SS Dighe (INDIA),2001-2001,6,10,1,141,47,No,15.66,0,0,1,R,
Mohammad Asif (PAK),2005-2010,23,38,13,141,29,No,5.64,0,0,14,L,bowler
JC Archer (ENG),2019-2020,10,16,0,139,30,No,8.68,0,0,1,R,bowler
TV Hohns (AUS),1989-1989,7,7,1,136,40,No,22.66,0,0,1,L,bowler
Rahat Ali (PAK),2013-2018,21,31,13,136,35,Yes,7.55,0,0,8,R,bowler
A Dananjaya (SL),2018-2019,6,10,2,135,43,Yes,16.87,0,0,3,L,allrounder
N Pradeep (SL),2011-2017,28,50,17,132,17,Yes,4.00,0,0,18,R,bowler
TCB Fernando (SL),2001-2002,9,8,3,132,45,No,26.40,0,0,1,R,allrounder
PW Jarvis (ENG),1988-1993,9,15,2,132,29,Yes,10.15,0,0,1,R,
GC Dyer (AUS),1986-1988,6,6,0,131,60,No,21.83,0,1,1,R,
DL Piedt (SA),2014-2019,9,12,1,131,56,No,11.90,0,1,2,R,bowler
V Rathour (INDIA),1996-1997,6,10,0,131,44,No,13.10,0,0,0,R,
Imran Tahir (SA),2011-2015,20,23,9,130,29,Yes,9.28,0,0,2,R,bowler
RK Illingworth (ENG),1991-1995,9,14,7,128,28,No,18.28,0,0,3,R,bowler
KM Jarvis (ZIM),2011-2020,13,24,10,128,25,Yes,9.14,0,0,4,R,bowler
BP Julian (AUS),1993-1995,7,9,1,128,56,Yes,16.00,0,1,3,R,allrounder
GR Larsen (NZ),1994-1996,8,13,4,127,26,Yes,14.11,0,0,2,R,bowler
AD Mullally (ENG),1996-2001,19,27,4,127,24,No,5.52,0,0,12,R,bowler
HMCM Bandara (SL),1998-2006,8,11,3,124,43,No,15.50,0,0,2,R,
CS Martin (NZ),2000-2013,71,104,52,123,12,Yes,2.36,0,0,36,R,bowler
BA Murphy (ZIM),2000-2001,11,15,3,123,30,No,10.25,0,0,3,R,
Junaid Khan (PAK),2011-2015,22,28,11,122,17,No,7.17,0,0,5,R,bowler
Mohammad Sharif (BDESH),2001-2007,10,20,3,122,24,Yes,7.17,0,0,7,R,
EA Brandes (ZIM),1992-1999,10,15,3,121,39,No,10.08,0,0,2,R,
PADLR Sandakan (SL),2016-2018,11,17,6,117,25,No,10.63,0,0,0,R,bowler
RP Singh (INDIA),2006-2011,14,19,3,116,30,No,7.25,0,0,7,R,bowler
DH Brain (ZIM),1992-1995,9,13,2,115,28,No,10.45,0,0,4,R,
PJ Martin (ENG),1995-1997,8,13,0,115,29,No,8.84,0,0,2,R,bowler
ML Cummins (WI),2016-2019,14,22,7,114,24,Yes,7.60,0,0,6,L,bowler
RKJ Dawson (ENG),2001-2003,7,13,3,114,19,Yes,11.40,0,0,0,R,
AR Whittall (ZIM),1996-1999,10,18,3,114,17,No,7.60,0,0,1,R,
CT Tremlett (ENG),2007-2013,12,15,4,113,25,Yes,10.27,0,0,3,R,bowler
FL Reifer (WI),1997-2009,6,12,0,111,29,No,9.25,0,0,3,L,batsman
PHT Kaushal (SL),2014-2015,7,12,2,106,18,No,10.60,0,0,1,R,bowler
MSK Prasad (INDIA),1999-2000,6,10,1,106,19,No,11.77,0,0,0,R,
D Ramnarine (WI),1998-2002,12,21,4,106,35,Yes,6.23,0,0,8,L,
GE Bradburn (NZ),1990-2001,7,10,2,105,30,Yes,13.12,0,0,1,R,
CB Mpofu (ZIM),2005-2017,15,28,10,105,33,No,5.83,0,0,9,R,bowler
SB O'Connor (NZ),1997-2001,19,27,9,103,20,No,5.72,0,0,4,L,
Aaqib Javed (PAK),1989-1998,22,27,7,101,28,Yes,5.05,0,0,8,R,bowler
CG Butts (WI),1986-1988,6,7,1,99,38,No,16.50,0,0,1,R,
Robiul Islam (BDESH),2010-2014,9,17,6,99,33,No,9.00,0,0,6,R,bowler
RK Chauhan (INDIA),1993-1998,21,17,3,98,23,No,7.00,0,0,1,R,
Mohsin Khan (PAK),1986-1986,6,10,0,98,40,No,9.80,0,0,1,R,
V Permaul (WI),2012-2015,6,9,1,98,23,Yes,12.25,0,0,3,R,bowler
Mohammad Abbas (PAK),2017-2020,19,27,13,97,29,No,6.92,0,0,4,R,bowler
KJ Abbott (SA),2013-2017,11,14,0,95,17,No,6.78,0,0,4,R,bowler
T Thushara (SL),2003-2010,10,14,3,94,15,Yes,8.54,0,0,3,L,bowler
DJ Vilas (SA),2015-2016,6,9,0,94,26,No,10.44,0,0,0,R,wicketkeeper batsman
MRCN Bandaratilleke (SL),1998-2001,7,9,1,93,25,No,11.62,0,0,1,R,
SD Anurasiri (SL),1986-1998,18,22,5,91,24,No,5.35,0,0,3,R,
CE Eksteen (SA),1993-2000,7,11,2,91,22,No,10.11,0,0,1,R,
TM Alderman (AUS),1988-1991,19,20,7,90,26,Yes,6.92,0,0,5,R,
Al-Amin Hossain (BDESH),2013-2019,7,11,7,90,32,Yes,22.50,0,0,0,R,bowler
TL Chatara (ZIM),2013-2018,9,16,2,90,22,No,6.42,0,0,5,R,bowler
A Nortje (SA),2019-2020,6,12,3,89,40,No,9.88,0,0,1,R,bowler
PP Ojha (INDIA),2009-2013,24,27,17,89,18,Yes,8.90,0,0,4,L,bowler
RJ Bright (AUS),1986-1986,6,8,2,88,30,No,14.66,0,0,1,R,bowler
M Kartik (INDIA),2000-2004,8,10,1,88,43,No,9.77,0,0,2,L,bowler
Shabbir Ahmed (PAK),2003-2005,10,15,5,88,24,Yes,8.80,0,0,4,R,
SNJ O'Keefe (AUS),2014-2017,9,13,4,86,25,No,9.55,0,0,2,R,allrounder
DT Hondo (ZIM),2001-2005,9,15,6,83,19,No,9.22,0,0,1,R,
M Zondeki (SA),2003-2008,6,5,0,82,59,No,16.40,0,1,1,R,
SI Mahmood (ENG),2006-2007,8,11,1,81,34,No,8.10,0,0,3,R,
Manjural Islam (BDESH),2001-2004,17,33,11,81,21,No,3.68,0,0,10,L,
NGB Cook (ENG),1987-1989,6,10,3,78,31,No,11.14,0,0,0,R,
A Nehra (INDIA),1999-2004,17,25,11,77,19,No,5.50,0,0,10,R,bowler
BA Reid (AUS),1986-1992,25,31,14,77,8,Yes,4.52,0,0,6,L,bowler
Ata-ur-Rehman (PAK),1992-1996,13,15,6,76,19,No,8.44,0,0,3,R,bowler
IG Butler (NZ),2002-2004,8,10,2,76,26,No,9.50,0,0,2,R,
AG Huckle (ZIM),1997-1998,8,14,3,74,28,Yes,6.72,0,0,7,R,
A Sanford (WI),2002-2004,11,17,2,72,18,Yes,4.80,0,0,2,R,
PVD Chameera (SL),2015-2019,8,15,2,69,19,No,5.30,0,0,4,R,bowler
DK Liyanage (SL),1992-2001,9,9,0,69,23,No,7.66,0,0,1,L,
WD Parnell (SA),2010-2017,6,4,0,67,23,No,16.75,0,0,0,L,bowler
PM Such (ENG),1993-1999,11,16,5,67,14,Yes,6.09,0,0,3,R,
M Hayward (SA),1999-2004,16,17,8,66,14,No,7.33,0,0,3,R,
RD King (WI),1999-2005,19,27,8,66,12,Yes,3.47,0,0,7,R,
A Kuruvilla (INDIA),1997-1997,10,11,1,66,35,Yes,6.60,0,0,5,R,
KSC de Silva (SL),1997-1999,8,12,5,65,27,No,9.28,0,0,2,L,
CW Henderson (SA),2001-2002,7,7,0,65,30,No,9.28,0,0,1,R,
MR Whitney (AUS),1987-1992,10,15,8,64,13,No,9.14,0,0,1,R,
J Garner (WI),1986-1987,7,8,1,63,24,No,9.00,0,0,3,R,
MM Patel (INDIA),2006-2011,13,14,6,60,15,Yes,7.50,0,0,4,R,bowler
W Watson (NZ),1986-1993,15,18,6,60,11,No,5.00,0,0,3,R,bowler
Enamul Haque jnr (BDESH),2003-2013,15,26,16,59,13,No,5.90,0,0,4,R,
CE Cuffy (WI),1994-2002,15,23,9,58,15,No,4.14,0,0,6,R,
L Embuldeniya (SL),2019-2020,7,9,0,56,24,No,6.22,0,0,3,L,bowler
Mustafizur Rahman (BDESH),2015-2019,13,19,6,56,16,No,4.30,0,0,7,L,bowler
DE Bollinger (AUS),2009-2010,12,14,7,54,21,No,7.71,0,0,3,L,bowler
MVT Fernando (SL),2016-2020,8,12,6,54,38,No,9.00,0,0,5,R,bowler
ND Hirwani (INDIA),1988-1996,17,22,12,54,17,No,5.40,0,0,5,R,
AY Patel (NZ),2018-2020,8,10,3,53,14,No,7.57,0,0,1,L,bowler
Shaheen Shah Afridi (PAK),2018-2020,9,14,3,53,14,No,4.81,0,0,3,L,bowler
CBRLS Kumara (SL),2016-2020,21,28,14,52,10,No,3.71,0,0,9,L,bowler
JJC Lawson (WI),2002-2005,13,21,6,52,14,No,3.46,0,0,6,R,bowler
Talha Jubair (BDESH),2002-2004,7,14,6,52,31,No,6.50,0,0,6,R,
L Balaji (INDIA),2003-2005,8,9,0,51,31,No,5.66,0,0,4,R,bowler
EJ Chatfield (NZ),1986-1989,18,21,12,51,14,No,5.66,0,0,5,R,
Kamrul Islam Rabbi (BDESH),2016-2018,7,14,5,51,25,Yes,5.66,0,0,5,R,
Kuldeep Yadav (INDIA),2017-2019,6,6,0,51,26,No,8.50,0,0,2,L,bowler
RG de Alwis (SL),1986-1988,6,9,0,50,18,No,5.55,0,0,4,R,
NS Yadav (INDIA),1986-1987,10,8,2,48,19,No,8.00,0,0,2,R,
BJ Arnel (NZ),2010-2012,6,12,4,45,8,Yes,5.62,0,0,3,R,bowler
JM Bird (AUS),2012-2017,9,9,6,43,19,Yes,14.33,0,0,1,R,bowler
Saleem Jaffar (PAK),1986-1992,14,14,6,42,10,Yes,5.25,0,0,4,R,
SP Narine (WI),2012-2013,6,7,2,40,22,Yes,8.00,0,0,1,L,bowling allrounder
KPJ Warnaweera (SL),1986-1994,10,12,3,39,20,No,4.33,0,0,3,L,
Maninder Singh (INDIA),1986-1993,20,20,6,38,8,No,2.71,0,0,7,R,
CG Rackemann (AUS),1989-1991,7,9,4,37,15,Yes,7.40,0,0,2,R,
Syed Rasel (BDESH),2005-2007,6,12,4,37,19,No,4.62,0,0,2,L,
VR Aaron (INDIA),2011-2015,9,14,5,35,9,No,3.88,0,0,1,R,bowler
M Mbangwa (ZIM),1996-2000,15,25,8,34,8,No,2.00,0,0,9,R,
Mohsin Kamal (PAK),1986-1994,7,9,6,33,13,Yes,11.00,0,0,0,R,
PDRL Perera (SL),1999-2002,8,9,6,33,11,Yes,11.00,0,0,1,L,bowler
JJ Bumrah (INDIA),2018-2020,14,21,10,32,10,Yes,2.90,0,0,6,R,bowler
Aamer Nazir (PAK),1993-1995,6,11,6,31,11,No,6.20,0,0,2,R,
Arshad Khan (PAK),1997-2005,9,8,2,31,9,Yes,5.16,0,0,1,R,
G Onions (ENG),2009-2012,9,10,7,30,17,Yes,10.00,0,0,3,R,bowler
CEW Silverwood (ENG),1996-2002,6,7,3,29,10,No,7.25,0,0,2,R,
Abu Jayed (BDESH),2018-2020,9,16,6,27,7,Yes,2.70,0,0,5,R,bowler
GI Allott (NZ),1996-1999,10,15,7,27,8,Yes,3.37,0,0,4,R,bowler
D Olivier (SA),2017-2019,10,12,5,26,10,Yes,3.71,0,0,3,R,bowler
Mohammad Akram (PAK),1995-2001,9,15,6,24,10,Yes,2.66,0,0,5,R,bowler
CEL Stuart (WI),2000-2001,6,9,2,24,12,Yes,3.42,0,0,2,R,
CAK Rajitha (SL),2018-2020,8,10,2,23,12,No,2.87,0,0,2,R,bowler
MI Black (WI),2000-2002,6,11,3,21,6,No,2.62,0,0,4,R,
Imran Khan (PAK),2014-2019,10,10,3,16,6,No,2.28,0,0,5,R,bowler
CK Langeveldt (SA),2005-2006,6,4,2,16,10,No,8.00,0,0,1,R,bowler
MB Owens (NZ),1992-1994,8,12,6,16,8,Yes,2.66,0,0,5,R,
DJ Terbrugge (SA),1998-2004,7,8,5,16,4,Yes,5.33,0,0,2,R,
Jubair Hossain (BDESH),2014-2015,6,5,2,13,7,Yes,4.33,0,0,1,R,bowler
BT Watambwa (ZIM),2001-2002,6,8,5,11,4,Yes,3.66,0,0,2,R,
BN Schultz (SA),1992-1997,9,8,2,9,6,No,1.50,0,0,3,L,
KJ Silva (SL),1995-1998,7,4,1,6,6,Yes,2.00,0,0,3,R,bowler
Ebadat Hossain (BDESH),2019-2020,6,10,4,4,2,No,0.66,0,0,3,R,bowler
