Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
JEC Franklin (NZ),2001-2013,31,46,7,808,122,Yes,20.71,1,2,6,L,allrounder
RW Chakabva (ZIM),2011-2020,17,34,2,806,101,No,25.18,1,4,2,R,wicketkeeper batsman
Mashrafe Mortaza (BDESH),2001-2009,36,67,5,797,79,No,12.85,0,3,12,R,bowler
IT Botham (ENG),1986-1992,23,36,3,791,138,No,23.96,1,2,3,R,allrounder
MG Bevan (AUS),1994-1998,18,30,3,785,91,No,29.07,0,6,4,L,batsman
Mohammad Wasim (PAK),1996-2000,18,28,2,783,192,No,30.11,2,2,3,R,
KK Jennings (ENG),2016-2019,17,32,1,781,146,Yes,25.19,2,1,4,L,opening batsman
CZ Harris (NZ),1992-2002,23,42,4,777,71,No,20.44,0,5,9,L,allrounder
NRD Compton (ENG),2012-2016,16,30,3,775,117,No,28.70,2,2,3,R,opening batsman
RWT Key (ENG),2002-2005,15,26,1,775,221,No,31.00,1,3,2,R,
JM How (NZ),2006-2009,19,35,1,772,92,No,22.70,0,4,4,R,top-order batsman
SC Williams (ZIM),2013-2020,12,24,1,770,119,No,33.47,2,3,0,L,middle-order batsman
CJ McDermott (AUS),1986-1996,59,72,12,769,42,Yes,12.81,0,0,10,R,
SK Raina (INDIA),2010-2015,18,31,2,768,120,No,26.48,1,7,8,L,middle-order batsman
Mudassar Nazar (PAK),1986-1989,21,30,1,762,124,No,26.27,2,2,2,R,
AJ Hall (SA),2002-2007,21,33,4,760,163,No,26.20,1,3,7,R,
Sami Aslam (PAK),2015-2017,13,25,1,758,91,No,31.58,0,7,0,L,opening batsman
HD Rutherford (NZ),2013-2015,16,29,1,755,171,No,26.96,1,1,2,L,opening batsman
Mohammad Amir (PAK),2009-2019,36,67,11,751,48,No,13.41,0,0,7,L,bowler
Yasir Shah (PAK),2014-2020,40,60,6,745,113,No,13.79,1,0,9,R,bowler
SJ Harmison (ENG/ICC),2002-2009,63,86,23,743,49,Yes,11.79,0,0,21,R,
MJ Santner (NZ),2015-2019,22,29,0,741,126,No,25.55,1,2,2,L,bowling allrounder
PL Symcox (SA),1993-1998,20,27,1,741,108,No,28.50,1,4,1,R,
MD Bell (NZ),1998-2008,18,32,2,729,107,No,24.30,2,3,7,R,
DJ Nash (NZ),1992-2001,32,45,14,729,89,Yes,23.51,0,4,5,R,
SM Curran (ENG),2018-2020,18,31,4,728,78,No,26.96,0,3,4,L,allrounder
N Deonarine (WI),2005-2013,18,30,2,725,82,No,25.89,0,5,3,L,batsman
DJ Malan (ENG),2017-2018,15,26,0,724,140,No,27.84,1,6,1,L,top-order batsman
I Sharma (INDIA),2007-2020,97,129,43,720,57,No,8.37,0,1,31,R,bowler
NV Knight (ENG),1995-2001,17,30,0,719,113,No,23.96,1,4,1,L,opening batsman
Asim Kamal (PAK),2003-2005,12,20,1,717,99,No,37.73,0,8,2,L,
DG Brownlie (NZ),2011-2013,14,25,1,711,109,No,29.62,1,4,3,R,middle-order batsman
JDS Neesham (NZ),2014-2017,12,22,1,709,137,Yes,33.76,2,4,2,L,batting allrounder
D Bishoo (WI),2011-2018,36,61,15,707,45,No,15.36,0,0,10,L,bowler
ARS Silva (SL),2017-2019,12,23,3,702,109,No,35.10,1,5,2,R,batsman
EJG Morgan (ENG),2010-2012,16,24,1,700,130,No,30.43,2,3,4,L,middle-order batsman
M Ntini (SA),1998-2009,101,116,45,699,32,Yes,9.84,0,0,21,R,
JG Bracewell (NZ),1986-1990,26,36,5,698,110,No,22.51,1,3,6,R,
Al Sahariar (BDESH),2000-2003,15,30,0,683,71,No,22.76,0,4,2,R,
CJ Anderson (NZ),2013-2016,13,22,1,683,116,No,32.52,1,4,3,L,batting allrounder
RT Robinson (ENG),1986-1989,18,31,2,667,166,No,23.00,1,3,5,R,
BA Pocock (NZ),1993-1997,15,29,0,665,85,No,22.93,0,6,4,R,
Hannan Sarkar (BDESH),2002-2004,17,33,0,662,76,No,20.06,0,5,5,R,
AB Barath (WI),2009-2012,15,28,0,657,104,No,23.46,1,4,2,R,opening batsman
Mushtaq Ahmed (PAK),1990-2003,52,72,16,656,59,No,11.71,0,2,14,R,bowler
